	dz	D2	D3
count	231.0	231.0	231.0
mean	0.012242424242424242	4.4890706168739545	4.494502710261528
std	0.22106251746313976	0.022787897496352925	0.022949335685212985
min	-0.746	4.402342584253293	4.4436852840160554
10%	-0.24200000000000002	4.45965255342746	4.464435488293001
25%	-0.101	4.474773820306676	4.478276760971314
50%	0.0	4.490741461359896	4.49490611635801
75%	0.116	4.50449992104018	4.50900182813219
90%	0.258	4.519433103036801	4.524527471381804
max	0.742	4.541164839604997	4.547594466773093
