	date	cellName	cellID	cellCode	manipID	compNum	compDuration	totalDuration	compStartTime	compAbsStartTime	compStartTimeThisDay	initialThickness	minThickness	maxIndent	previousThickness	surroundingThickness	surroundingDx	surroundingDy	surroundingDz	validatedThickness	jumpD3	minForce	maxForce	ctFieldForce	minStress	maxStress	minStrain	maxStrain	ctFieldThickness	ctFieldFluctuAmpli	ctFieldMinThickness	ctFieldMaxThickness	ctFieldVarThickness	ctFieldDX	ctFieldDY	ctFieldDZ	bestH0	error_bestH0	method_bestH0	error_Full	nbPts_Full	E_Full	ciwE_Full	H0_Full	R2_Full	Chi2_Full	valid_Full	issue_Full	error_f_<_400	nbPts_f_<_400	E_f_<_400	ciwE_f_<_400	H0_f_<_400	R2_f_<_400	Chi2_f_<_400	valid_f_<_400	issue_f_<_400	error_f_in_400_800	nbPts_f_in_400_800	E_f_in_400_800	ciwE_f_in_400_800	H0_f_in_400_800	R2_f_in_400_800	Chi2_f_in_400_800	valid_f_in_400_800	issue_f_in_400_800	mean_h
6	24-05-23	M1_P1_C2	24-05-23_M1_P1_C2	P1_C2	24-05-23_M1	1	1.5s	118.79300000000056	10.175000000000182	7689.928	368.058	358.5701627619983	184.6764585099645	173.8937042520338	275.14574521277336	284.7796523778061	4777.40506329114	114.3670886075946	-194.25	True	15.14421646860592	35.829943881451584	990.9706130856158	89.54888743022784	161.8890866973879	693.4213970822859	0.0232451184465258	0.1746713914646392	300.05022705588954	75.7067694853589	246.72188558326525	382.8514532637855	913.5056123005836	4771.455696202533	130.2848101265819	-507.5	387.9873067119431	False	Chadwick	False	130.0	3381.4076037186564	60.51768928456903	409.1162053838989	0.9962511580311956	0.11993004813846	True	none	False	66.0	3440.4119939821358	195.48365391994852	408.9752592805888	0.9839897178256388	0.1491130968104608	True	none	False	43.0	4348.091455208278	201.91652940541044	381.5613967310461	0.9917144615880804	0.0187254190280129	True	none	415.0348466783514
7	24-05-23	M1_P1_C2	24-05-23_M1_P1_C2	P1_C2	24-05-23_M1	2	1.5s	118.79300000000056	31.60699999999997	7711.36	389.4899999999998	346.9363609799769	167.4430010858996	179.4933598940773	293.738193940339	275.1715401742722	4763.797468354431	19.240506329114048	-262.5	True	21.748949142217494	35.98316294277558	995.9883760629272	89.54888743022784	116.97696873544012	634.8418127072523	0.0366536961717321	0.1909988323135128	300.05022705588954	75.7067694853589	246.72188558326525	382.8514532637855	913.5056123005836	4771.455696202533	130.2848101265819	-507.5	392.1349588145712	False	Chadwick	False	130.0	3053.7007507681105	76.90673325960753	390.5007123519626	0.9923588228989544	0.262928849237764	True	none	False	65.0	2429.7940233646527	79.30014232414764	403.202801506322	0.9944935004646192	0.0702165339827348	True	none	False	43.0	3803.64038461638	178.36373050280704	363.1134924499123	0.9911567888534188	0.0225716613764693	True	none	
8	24-05-23	M1_P1_C2	24-05-23_M1_P1_C2	P1_C2	24-05-23_M1	3	1.5s	118.79300000000056	52.78800000000047	7732.541	410.6710000000003	449.92792100880826	203.8310879046412	246.09683310416705	273.09473444972946	302.5346582813195	4773.4493670886095	54.9683544303795	-465.5	True	21.639278222910438	29.57914715431083	953.4689404187598	89.54888743022784	85.21652404271086	482.1675932667446	0.0327808957948035	0.1972786360512119	300.05022705588954	75.7067694853589	246.72188558326525	382.8514532637855	913.5056123005836	4771.455696202533	130.2848101265819	-507.5	499.38515409965225	False	Chadwick	False	134.0	2040.3376317388895	117.20754120000537	496.957352957806	0.9594770074297516	2.791919068701702	False		False	69.0	1300.6522390537518	108.6808113474504	532.44524701855	0.9611730517557296	1.3661554812201686	False		False	45.0	4399.945072484804	411.04126556643854	392.0215542324748	0.965998537165488	0.081705558877403	True	none	
9	24-05-23	M1_P1_C2	24-05-23_M1_P1_C2	P1_C2	24-05-23_M1	4	1.5s	118.79300000000056	72.14000000000033	7751.893	430.02300000000014	412.7735179543585	228.5560698581512	184.2174480962073	343.37937418902175	331.44171079440093	4793.987341772152	155.56962025316446	-584.5	True	34.44607536592139	29.575385440564936	910.9577504135492	89.54888743022784	149.96511553841697	614.8137423433201	0.0200605848227414	0.1606611181549601	300.05022705588954	75.7067694853589	246.72188558326525	382.8514532637855	913.5056123005836	4771.455696202533	130.2848101265819	-507.5	441.2137560213903	False	Chadwick	False	134.0	3285.236856273514	68.9709873195394	459.2186712318708	0.9948712707671372	0.1793386050099701	True	none	False	73.0	3022.1767263254865	142.4909976284638	463.8217955417945	0.987739776844068	0.1610640970502178	True	none	False	47.0	4226.352535234707	294.1001342835437	430.3138664108933	0.9801434753786532	0.0512511200402217	True	none	
10	24-05-23	M1_P1_C2	24-05-23_M1_P1_C2	P1_C2	24-05-23_M1	5	1.5s	118.79300000000056	91.49499999999988	7771.248	449.3779999999997	351.77776095672834	206.20340461334672	145.57435634338162	314.3198318734285	301.0912634528977	4765.791139240506	203.0696202531646	-521.5	True	39.71257174274524	29.85892763023545	932.7463410397448	89.54888743022784	149.46556252403406	758.1124998912377	0.0247754601680612	0.1525873606821115	300.05022705588954	75.7067694853589	246.72188558326525	382.8514532637855	913.5056123005836	4771.455696202533	130.2848101265819	-507.5	380.2821562009741	False	Chadwick	False	135.0	4526.719085929919	63.04201537639309	388.9986275678803	0.9977679006482708	0.0497449665906144	True	none	False	72.0	4662.906223804023	185.8872627345717	388.0201941910596	0.9915741211812894	0.0594038151307709	True	none	False	47.0	4630.242027599386	308.76927620308146	386.5327682375932	0.9816502700987144	0.0408865273378215	True	none	
11	24-05-23	M1_P1_C2	24-05-23_M1_P1_C2	P1_C2	24-05-23_M1	6	1.5s	118.79300000000056	110.84799999999996	7790.601	468.73099999999977	362.1747670546383	186.4610673923471	175.71369966229122	302.41248171293	292.8595809867993	4739.683544303796	149.4620253164556	-712.25	True	47.57169616703595	31.259483971965675	926.9432630053255	89.54888743022784	165.77694423148475	650.0946807737946	0.0215607833159795	0.1736396766625745	300.05022705588954	75.7067694853589	246.72188558326525	382.8514532637855	913.5056123005836	4771.455696202533	130.2848101265819	-507.5	389.2057482215774	False	Chadwick	False	133.0	3083.0709359772936	60.26361811477605	415.8942859217773	0.995431783169456	0.1554869767596257	True	none	False	71.0	3320.6711844548604	205.2034125740682	412.7374165941597	0.9796510605401626	0.2094289900181594	True	none	False	46.0	3057.573369198942	196.2698971080136	415.3067169331656	0.9819177766983151	0.0642000719274476	True	none	
12	24-05-23	M1_P1_C3	24-05-23_M1_P1_C3	P1_C3	24-05-23_M1	1	1.5s	122.1989999999996	10.173999999999978	8047.269	725.3990000000003	513.0847075671967	159.8287908836628	353.2559166835339	272.06600739715213	265.89227054700905	4613.512658227849	1163.0063291139231	196.0	True	1.1323108379383484	26.077846327855035	1000.8257780064486	87.40382867847603	27.172585511931302	287.73055949530465	0.0694138151899124	0.251629147868557	245.77764201451828	86.24592107889293	183.24286506381213	290.0360140593084	1152.0949213420563	4611.23417721519	1093.9873417721524	169.75	652.0628450650875	False	Chadwick	False	135.0	1264.120340837404	116.72645082757568	521.9934856169119	0.8905119083484297	14.964607861304732	False		False	70.0	529.9104052956606	23.3030367223603	624.1811944623092	0.9869663025274914	1.418563413299677	False		False	42.0	6270.706383933889	610.4842098711551	296.79370487862906	0.9663275607567658	0.0406809339669054	True	none	547.4438299269547
13	24-05-23	M1_P1_C3	24-05-23_M1_P1_C3	P1_C3	24-05-23_M1	2	1.5s	122.1989999999996	29.493999999999687	8066.589	744.719	466.0622901209902	164.59995412922945	301.4623359917608	255.27265839119357	251.71064276125665	4613.481012658226	1107.6265822784803	238.0	True	-1.4900691707471196	27.166255035068083	982.2943508572372	87.40382867847603	26.787452328448403	310.7964068584424	0.0781804833996457	0.2436495683171105	245.77764201451828	86.24592107889293	183.24286506381213	290.0360140593084	1152.0949213420563	4611.23417721519	1093.9873417721524	169.75	611.7790813809509	False	Chadwick	False	132.0	1742.8033876200975	185.7424172151385	450.2075103667868	0.8675205697834455	11.10745994372167	False		False	68.0	679.4638775584074	60.2418346697975	538.8489863938812	0.95143368999332	3.541766867959452	False		False	43.0	6902.000742782484	515.2428152422165	292.9700980042486	0.979783222632606	0.0226283814418669	True	none	
14	24-05-23	M1_P1_C3	24-05-23_M1_P1_C3	P1_C3	24-05-23_M1	3	1.5s	122.1989999999996	50.71299999999974	8087.808	765.9380000000001	425.2991991977066	181.6700928068276	243.62910639087903	261.3056724579719	278.9430431859787	4625.63291139241	1165.3481012658233	208.25	True	18.591806309776075	28.2050711349153	945.999911311694	87.40382867847603	33.94990381175383	367.0108181578784	0.071211148352557	0.2226227694417588	245.77764201451828	86.24592107889293	183.24286506381213	290.0360140593084	1152.0949213420563	4611.23417721519	1093.9873417721524	169.75	546.9821078825202	False	Chadwick	False	132.0	2375.002078541338	228.9216064604784	416.32417484469823	0.8951941189527818	5.470779278806323	False		False	70.0	1044.526310380679	101.44997993198692	475.9232513630107	0.9441808583998654	2.298674063257257	False		False	44.0	7784.277853547711	652.3204110233845	302.7824080388441	0.9748073868202652	0.0254720696048264	True	none	
15	24-05-23	M1_P1_C3	24-05-23_M1_P1_C3	P1_C3	24-05-23_M1	4	1.5s	122.1989999999996	71.89899999999943	8108.994	787.1239999999998	432.7062126195036	158.00764683728357	274.69856578222	270.0074129216232	227.39816685457023	4605.854430379745	1055.6329113924053	124.25	True	-12.230454039743565	29.45823654148356	1005.9852271885068	87.40382867847603	29.42737570886062	340.2358403736412	0.0817562173433067	0.2421264076955625	245.77764201451828	86.24592107889293	183.24286506381213	290.0360140593084	1152.0949213420563	4611.23417721519	1093.9873417721524	169.75	577.4694766229067	False	Chadwick	False	132.0	1994.641775736688	218.05459497719625	416.3970328203301	0.862410489311768	9.51274146343845	False		False	67.0	756.5614348977051	73.91151122032825	500.4873196502753	0.9427031569466816	3.409121367348693	False		False	42.0	7622.897681057865	712.002936557988	275.025162736632	0.9697040071708936	0.0290467326687374	True	none	
