	date	cellName	cellID	cellCode	manipID	compNum	compDuration	totalDuration	compStartTime	compAbsStartTime	compStartTimeThisDay	initialThickness	minThickness	maxIndent	previousThickness	surroundingThickness	surroundingDx	surroundingDy	surroundingDz	validatedThickness	jumpD3	minForce	maxForce	ctFieldForce	minStress	maxStress	minStrain	maxStrain	ctFieldThickness	ctFieldFluctuAmpli	ctFieldMinThickness	ctFieldMaxThickness	ctFieldVarThickness	ctFieldDX	ctFieldDY	ctFieldDZ	bestH0	error_bestH0	method_bestH0	error_vwc_Full	nbPts_vwc_Full	K_vwc_Full	ciwK_vwc_Full	Y_vwc_Full	ciwY_vwc_Full	H0_vwc_Full	R2_vwc_Full	Chi2_vwc_Full	valid_vwc_Full	issue_vwc_Full	error_Full	nbPts_Full	E_Full	ciwE_Full	H0_Full	R2_Full	Chi2_Full	valid_Full	issue_Full	error_f_<_400	nbPts_f_<_400	E_f_<_400	ciwE_f_<_400	H0_f_<_400	R2_f_<_400	Chi2_f_<_400	valid_f_<_400	issue_f_<_400	error_f_in_400_800	nbPts_f_in_400_800	E_f_in_400_800	ciwE_f_in_400_800	H0_f_in_400_800	R2_f_in_400_800	Chi2_f_in_400_800	valid_f_in_400_800	issue_f_in_400_800	Color	ratio G/R	EGFP	DsRed	phase	mean_h	median_h	E_effective	NLI	NLI_type	NLI_ind
0	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	1	1.5s	205.27599999999984	10.17699999999968	10768.068	10.17699999999968	975.1631156264776	184.40306678439083	790.7600488420867	708.2785422639618	668.6019695497589	5140.189873417721	471.645569620253	47.25	True	36.31691452666369	17.273781843427415	971.4323736494928	69.88033972244602	18.115420334581653	147.9206437410632	0.040384171477757	0.278135194430445	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	1113.5826343035249	False	VWC	False	133	5.234825719962659	0.324038761682377	423.3288350940315	10.595567327791246	1111.048203633233	0.9989915624442284	0.8851222205594864	True	none	False	133	496.3851045868937	10.329711639881774	1094.3357823272524	0.9939570475496566	4.00564545418293	False		False	80	410.21815640184127	5.031053267643654	1132.3294263581197	0.9989406820717478	0.2871905345834429	True	none	False	38	658.3857401915959	9.579185679102924	943.6430875690904	0.999013239000136	0.0366523443850391	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S	693.7854099573799	569.6865993531035	436.1091713244091	-1.520135571930178	Intermediate	1
1	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	2	1.5s	205.27599999999984	31.53399999999965	10789.425	31.53399999999965	990.6654275812788	145.81933836391272	844.8460892173662	604.8389795788503	605.5628453284212	5037.943037974684	752.0253164556956	299.25	True	-30.647804522234008	17.17954626677905	938.4484310556132	69.88033972244602	19.908769152748494	137.1222850134236	0.0362706095116771	0.289788262213201	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	1116.233017215855	False	VWC	False	131	5.420323570071231	0.3137774530315524	289.34213825567474	16.77980576438669	1114.8409516713125	0.9958062185943056	3.567349331874333	False		False	131	404.06874401557553	19.315217946849383	1081.2608803590929	0.9673183345947014	26.68969707757946	False		False	78	259.3524767142985	6.405493728841176	1186.748585655533	0.9954402738061952	2.1145351132947017	False		False	39	818.2956516714744	19.176900999358317	728.1268760374902	0.9973093527037078	0.0588623373735591	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S			302.57535009666896	-1.3397464217383552	Intermediate	1
2	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	3	1.5s	205.27599999999984	52.71399999999994	10810.605	52.71399999999994	765.8695084206569	227.08627609382984	538.783232326827	604.7377828943486	546.7502197168251	5012.816455696202	611.2025316455686	-3.5	True	11.934462602472692	20.665049153711823	915.39882650751	69.88033972244602	47.72341435936752	217.42092146284955	0.0209849645572186	0.2415071454879602	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	824.3337455331817	False	VWC	False	132	8.518800976176943	2.4246207268981097	839.1639615356798	30.66450312334997	823.0573470037738	0.998714917981343	0.9938038685797698	True	none	False	132	855.5137639360388	16.84166360807176	834.4592036155392	0.9949549866632232	1.3190264511311252	False		False	79	714.1772884720394	20.50173627270892	857.7505183288783	0.9944797709233574	0.6361266668993433	True	none	False	42	1024.7735700352282	17.585245189593223	778.5364116294229	0.998611206683632	0.0268928298785818	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S			859.9618154814243	-1.605828300495299	Intermediate	1
3	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	4	1.5s	205.27599999999984	73.89400000000023	10831.785	73.89400000000023	634.8906268335428	176.26193779971254	458.6286890338303	508.8746686713562	501.9548176368921	4970.664556962024	542.9113924050635	140.0	True	15.151105308344494	23.65296496069256	964.1002219191092	69.88033972244602	33.11418038527098	242.1827697918045	0.0444415712630077	0.2538827728204758	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	739.5036471399424	False	VWC	False	131	21.878515270918093	1.5908578900268278	700.0665004319129	31.86434140184925	738.1469607206528	0.998274735350596	1.508565338195341	False		False	131	932.965274311018	21.03365013842405	714.4175615466539	0.993178930684072	1.4760831757119648	False		False	74	760.1869788855453	15.36888985669622	740.2663949836842	0.997388217943456	0.2317287485653163	True	none	False	40	1310.0979353381238	30.04585408522417	614.888217953593	0.9976682061884652	0.0268999512938525	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S			753.4808443550528	-1.11748139788106	Intermediate	1
4	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	5	1.5s	205.27599999999984	95.07200000000012	10852.963	95.07200000000012	513.2980080989213	188.53488514339008	324.76312295553123	459.3266074824192	416.9766375494624	4888.386075949366	435.5696202531648	264.25	True	12.313792019666742	24.12706667155199	964.018753592258	69.88033972244602	67.11051489253532	362.9450810143287	0.0300439008015379	0.2219761545021944	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	564.3548298737068	False	VWC	False	135	16.164734834391247	7.438304856293479	1506.9231704266674	72.58329091968861	564.4625279589515	0.9983530976291596	1.4500598256056152	False		False	135	1561.842755172711	23.08664256725939	567.4633767254569	0.997158261487838	0.2901747967003093	True	none	False	75	1322.4605674982586	22.537799069597742	580.5804645354632	0.9982106018012674	0.0713403657198225	True	none	False	42	1762.2136737356814	77.33067781572213	545.4438023887612	0.9916002689004968	0.0661006472961508	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S			1546.387855080943	-1.58188247374519	Intermediate	1
5	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	6	1.5s	205.27599999999984	114.42900000000007	10872.32	114.42900000000007	532.867026347978	183.8346838182888	349.03234252968923	410.84316263638857	393.62896275313824	4839.96835443038	580.9177215189864	414.75	True	14.601339902187414	25.35927781283258	946.0675893857374	69.88033972244602	82.3079377906419	343.44612017490954	0.0210642310896525	0.2265225728818188	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	573.708376200974	False	VWC	False	131	53.481598490878966	8.933795068344912	1109.320002254864	116.11846741331458	573.296269351018	0.9949627489658176	4.228413975403368	False		False	131	1378.2466827392682	51.75326122026579	575.4593914922231	0.982013763055272	2.058222818141613	False		False	73	937.2548807733732	33.4927879414008	611.8823828373812	0.9919741271442248	0.4740022890333876	True	none	False	42	2137.839854241912	112.14128686639292	494.1868376622598	0.9883925316353628	0.0664647205467161	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S			1239.8903110704864	-0.9292124125883251	Intermediate	1
6	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	7	1.5s	205.27599999999984	135.612000000001	10893.503	135.612000000001	522.2968671402847	138.01577953561718	384.2810876046675	382.568254973849	384.95468570963567	4811.487341772152	738.9240506329121	397.25	True	-7.203242292313868	22.89668652521437	980.2516391418172	69.88033972244602	83.08989225168555	328.2767771277042	0.0206695407593292	0.2512547658515365	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	560.5027141270305	False	VWC	False	134	18.335212570866958	3.62539892595762	1088.5594356547767	65.34989104803581	560.2820547649717	0.9968924439039546	2.839343597869698	False		False	134	1174.1244967745276	36.16107434899886	569.0262881800002	0.9869697355546956	1.847343837092631	False		False	74	846.8879618927392	35.303231575947656	601.1598168950069	0.9887892811760828	0.742764788736605	True	none	False	41	1371.4326181729314	54.33476795539843	533.1698382136829	0.9926088996303324	0.0750115900556538	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S			1133.3231382203699	-1.3859261452381857	Intermediate	1
7	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	8	1.5s	205.27599999999984	154.96600000000035	10912.857	154.96600000000035	492.06998089936434	134.98513325250406	357.0848476468603	395.9606257491823	351.1049267400522	4784.620253164556	699.7468354430378	309.75	True	42.57828413718496	24.09142115311008	1014.9519914287616	69.88033972244602	47.377020655735954	334.16750708438155	0.0423965105976908	0.253789683759676	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	565.6648225052329	False	VWC	False	133	45.07717051168521	4.512603035821219	936.6661858890716	85.92335453315275	556.9052190759552	0.9947009180468224	5.088905846978199	False		False	133	1322.4077782657266	43.59985282692629	543.0002626650243	0.9854065162619124	1.803946232092352	False		False	72	953.8210726769508	17.175665393306296	574.1866857195907	0.997982476746209	0.108589376596293	True	none	False	41	2228.734671559545	92.736556582995	438.3720163263381	0.9926655536824466	0.0379406321780013	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S			1046.7178717086156	-0.9299881426163091	Intermediate	1
8	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	9	1.5s	205.27599999999984	176.14800000000105	10934.039	176.14800000000105	423.55468350051706	116.23152569719424	307.32315780332283	318.5529414587745	332.3440648833744	4743.132911392405	881.8037974683546	260.75	True	38.08149292687026	24.953226975165965	1028.4719783240453	69.88033972244602	87.42930950577744	428.63943549111656	0.0289969890835797	0.2498708488926707	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	464.20666912461184	False	VWC	False	133	9.253029459291217e-13	10.75592087680299	1876.5273465267533	133.23636733245107	466.8835162646332	0.9916281774963	7.960596903751093	False		False	133	1855.9077126813609	36.014399884461604	468.6880259577976	0.9951361136140068	0.3603847278058727	True	none	False	73	1575.550190992445	24.30671910284381	479.3586663857248	0.9985706188921742	0.0389951467665674	True	none	False	40	2542.098854749156	104.83773177596136	423.3396790117961	0.9932116055048152	0.0283891969778843	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S			1876.5273465267555	-14.919430900859101	Linear	1
9	24-06-12	M1_P1_C1	24-06-12_M1_P1_C1	P1_C1	24-06-12_M1	10	1.5s	205.27599999999984	192.8760000000002	10950.767	192.8760000000002	365.32640983965695	87.55767662837843	277.7687332112785	310.8356334990531	294.4130770380661	4705.316455696202	882.4683544303796	173.25	True	46.93819914684559	17.90451061381277	1053.013230333523	69.88033972244602	49.17900398286216	475.232165082947	0.0384537603306863	0.2631350544259379	412.688544393146	318.78286591082383	275.08919479045653	735.0920223339281	14765.109340773111	4868.101265822785	649.6835443037976	252.0	415.76364354973856	False	VWC	False	146	8.565719514411188e-13	5.161506840526543	1792.200227197594	89.88387171372244	415.5082937438545	0.99484800728335	5.694558338187834	False		False	146	1864.744361016173	24.1187116556654	409.21549294437415	0.9975967983552304	0.1866984209770731	True	none	False	83	1988.500309145252	39.59055003969652	405.88211355974414	0.9973850716760468	0.0549307880173737	True	none	False	39	1944.5616954944944	68.40537687327007	403.40293603148586	0.9946260077176978	0.029554126012513	True	none	Yellow	0.8336525522262299	169.9658917430056	203.88097090222985	G1/S			1792.200227197596	-14.93298262674652	Linear	1
