	date	cellName	cellID	cellCode	manipID	compNum	compDuration	totalDuration	compStartTime	compAbsStartTime	compStartTimeThisDay	initialThickness	minThickness	maxIndent	previousThickness	surroundingThickness	surroundingDx	surroundingDy	surroundingDz	validatedThickness	jumpD3	minForce	maxForce	ctFieldForce	minStress	maxStress	minStrain	maxStrain	ctFieldThickness	ctFieldFluctuAmpli	ctFieldMinThickness	ctFieldMaxThickness	ctFieldVarThickness	ctFieldDX	ctFieldDY	ctFieldDZ	bestH0	error_bestH0	method_bestH0	error_vwc_Full	nbPts_vwc_Full	K_vwc_Full	ciwK_vwc_Full	Y_vwc_Full	ciwY_vwc_Full	H0_vwc_Full	R2_vwc_Full	Chi2_vwc_Full	valid_vwc_Full	issue_vwc_Full	error_Full	nbPts_Full	E_Full	ciwE_Full	H0_Full	R2_Full	Chi2_Full	valid_Full	issue_Full	error_f_<_400	nbPts_f_<_400	E_f_<_400	ciwE_f_<_400	H0_f_<_400	R2_f_<_400	Chi2_f_<_400	valid_f_<_400	issue_f_<_400	error_f_in_400_800	nbPts_f_in_400_800	E_f_in_400_800	ciwE_f_in_400_800	H0_f_in_400_800	R2_f_in_400_800	Chi2_f_in_400_800	valid_f_in_400_800	issue_f_in_400_800	Color	ratio G/R	EGFP	DsRed	phase	mean_h	median_h	E_effective	mean_Eeff	median_Eeff	NLI	NLI_type
0	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	1	1.5s	194.17100000000028	10.1770000000015	12833.834	5170.636	480.4153430743824	361.95315619387657	118.46218688050584	446.1376569124236	443.0593697662289	4903.291139240507	532.2468354430384	313.25	True	11.119958948101498	26.03456522793389	848.6475838235241	73.3910043507318	103.08801355612783	779.330356717345	0.0223970010214774	0.1001389047585677	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	517.3839392391102	False	VWC	False	135	2887.0813820167914	574.4838656759568	495.6077958861608	1937.3222135418323	517.8855059216386	0.995931184701012	2.791782058877291	False		False	135	8238.283835947757	191.1631471141016	506.6308426154288	0.9945303284327008	0.0804076028909004	True	none	False	77	6913.725112918004	209.9192104062917	512.1265895941751	0.9950358455826024	0.0325445562883311	True	none	False	51	10113.98754935414	905.2761292338608	493.1791079318146	0.970076979892762	0.038991496402399	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	7544.146326200592	7088.287355482816	7406.8758344446705	1.1529609489352641	Non-linear
1	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	2	1.5s	194.17100000000028	29.50900000000001	12853.166	5189.967999999999	472.3771483247847	356.76972667683003	115.60742164795464	437.1890203388184	435.5065102622334	4892.43670886076	554.8417721518992	315.0	True	8.559943830500721	25.992968840665306	851.0873736589926	73.3910043507318	96.95154737140126	806.0965256484083	0.0216191217991193	0.0993801501408356	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	508.3206845181477	False	VWC	False	135	2766.758252689375	653.8024432412066	1495.6439985194388	2059.9989552667016	507.79020049906126	0.9964049578049607	2.467933850534514	False		False	135	8851.770611662942	181.75509746640708	498.17241552982	0.995734226319155	0.05734289370571	True	none	False	77	7944.582247441267	293.2985853065629	501.4395536664517	0.9927367762399848	0.0405377119490208	True	none	False	51	11007.813157518056	950.1443514208177	484.2954894890133	0.9723377037853974	0.032388189841086	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	8250.424888874357	7088.287355482816	7406.8758344446705	0.6547830334189967	Non-linear
2	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	3	1.5s	194.17100000000028	48.8650000000016	12872.522	5209.3240000000005	467.56308285641353	352.604239807476	114.95884304893752	435.8406857622404	433.7972473854097	4891.803797468354	553.5759493670894	316.75	True	9.679979992833116	29.809021080608428	852.0707700512673	73.3910043507318	142.39611439409776	841.2621466657541	0.0179827612835438	0.0968783625297406	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	497.07031407734814	False	VWC	False	132	93.4051682864789	952.6055972610808	8646.962183000538	2585.770970693328	496.9209692659573	0.9948340694557014	3.494267072502528	False		False	132	8888.965121082949	198.87089696536415	496.717886896282	0.9950402778025412	0.0634868160117501	True	none	False	74	8532.857815652604	453.9407506649964	497.9472252033903	0.985659305206583	0.0702620590870241	True	none	False	51	10044.458534732585	1026.600803975977	489.0398284228403	0.9612626302712096	0.0509199246133948	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	8875.002144637449	7088.287355482816	7406.8758344446705	-1.5788526003465708	Linear
3	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	4	1.5s	194.17100000000028	68.22299999999996	12891.88	5228.681999999999	470.7118287815399	351.16543155427007	119.54639722726978	431.2906941757051	425.6446143707258	4889.208860759494	533.8924050632905	232.75	True	9.555634879448435	26.12618580261813	854.970564351001	73.3910043507318	114.0690116432543	804.5893574549855	0.0197510101978437	0.1004073639940004	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	502.54226346438105	False	VWC	False	135	2224.104815284006	743.337200858239	2530.0522292039127	2311.331238745473	502.70995272846847	0.994987052407332	3.481442729451324	False		False	135	8588.469717925862	193.2181272316961	493.9308072433025	0.99486195403606	0.0710412627027829	True	none	False	77	8054.014119213526	384.7350952543181	495.9528502236697	0.9878957892882656	0.0666469761092396	True	none	False	50	10343.958216191928	1164.3440746404794	481.580883353896	0.9544320384839676	0.055937780997429	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	7959.99562589338	7088.287355482816	7406.8758344446705	0.331665815761714	Non-linear
4	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	5	1.5s	194.17100000000028	87.57999999999993	12911.237	5248.038999999999	455.70496129370287	338.02961312086063	117.67534817284223	422.1262393555339	421.1481550120466	4884.999999999999	536.7405063291144	210.0	True	4.966810765391288	30.01792393831801	861.8548569437385	73.3910043507318	102.46578991405497	774.5705550124699	0.0253279908882399	0.1070447745124346	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	497.93298562714347	False	VWC	False	131	2669.1865175149305	587.5576783814857	753.0366964120652	2052.149875502336	496.57418437021926	0.9952127252581828	3.3199498586195086	False		False	131	8329.033488932902	210.7546174307033	483.6042844553044	0.9936487325081982	0.0859972303947872	True	none	False	73	7381.687489790365	396.1258098951275	487.44237683961296	0.9854480714503168	0.0830603172243582	True	none	False	49	10377.757291723545	998.7862678544996	469.30764716420487	0.966899678093146	0.0380025504904519	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	7269.605342688749	7088.287355482816	7406.8758344446705	0.9372028341010281	Non-linear
5	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	6	1.5s	194.17100000000028	106.9369999999999	12930.594	5267.395999999999	459.9642964679554	334.66655118047765	125.29774528747777	418.4100455263346	417.6637211104521	4882.721518987343	522.1202531645567	217.0	True	3.29819487888126	26.24273758302142	863.5116638408928	73.3910043507318	101.24896639120486	754.9247541884561	0.0240911581010256	0.1092905268657405	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	497.9205483943776	False	VWC	False	134	2586.2560048577675	464.5998464299656	4.501492462944937e-13	1806.0448304375975	497.7557406114551	0.995021897050566	3.54315312554938	False		False	134	7337.220171566869	193.9005391170015	484.3505380834568	0.9928419788290752	0.1155921545704007	True	none	False	75	6177.137812572618	197.5925460707853	490.21490832855216	0.994583536890514	0.038187617796658	True	none	False	50	10603.64394889998	1189.046405323166	459.30952453955126	0.9546474577052836	0.0531129317967046	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	6314.101574359783	7088.287355482816	7406.8758344446705	16.146955036744995	Non-linear
6	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	7	1.5s	194.17100000000028	126.29600000000028	12949.953	5286.754999999999	471.14277826258814	335.3353079225808	135.80747034000734	416.8017108803979	419.27864746036994	4884.841772151898	529.4620253164554	213.5	True	4.403406858471712	25.90642889498888	863.4245529428542	73.3910043507318	77.90729479313961	672.2290702048464	0.0279970987755455	0.1177237368982363	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	518.4297815233899	False	VWC	False	135	1947.0388964605825	273.3341529149626	421.6174319734356	1133.1240587179288	518.0762762513966	0.9968139613908894	2.2544632249762344	False		False	135	6439.445273618936	135.4697510743337	500.7341005202276	0.9953749863540896	0.0875557344670059	True	none	False	77	5803.573933703934	209.1619030166176	504.5893700708068	0.9929200696238198	0.05519758102033	True	none	False	50	8407.44788071353	696.8130378107651	480.1023266075527	0.974039032558468	0.0390116838535081	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	5175.130362785403	7088.287355482816	7406.8758344446705	1.0520961209556015	Non-linear
7	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	8	1.5s	194.17100000000028	145.65100000000166	12969.308	5306.110000000001	454.8805055772828	328.84823515341304	126.0322704238697	418.4064080512576	419.1566829367234	4884.335443037975	522.7848101265826	225.75	True	2.5716532251618736	31.28771789277213	863.3073683501817	73.3910043507318	104.15409318132592	740.9578872085535	0.0267451278752773	0.1135556666262429	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	498.7589504740821	False	VWC	False	131	2432.25635771708	444.2235907322379	8.043513323753592e-14	1804.8603930623087	498.3518323874692	0.9944898720664224	3.844484213230821	False		False	131	7140.933985153984	196.82339419609397	483.1375463815186	0.9923410114259976	0.1198731097896948	True	none	False	72	6153.513774226022	211.8108100497363	488.67465713537626	0.993966752876596	0.038904503369129	True	none	False	50	12102.397081607369	1257.0364279585715	448.3679454597675	0.9613339080303844	0.0381908494798592	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	5938.125873332714	7088.287355482816	7406.8758344446705	16.868203613763765	Non-linear
8	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	9	1.5s	194.17100000000028	165.00700000000143	12988.664	5325.466	481.56602577280745	352.1170836567589	129.4489421160485	421.853450578305	423.4115229105382	4892.563291139241	501.8987341772146	229.25	True	23.8458552714858	27.36485304122194	851.2977963628517	73.3910043507318	88.08019991942231	690.9379040284347	0.0275044357851794	0.1106459090377897	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	527.0722475246147	False	VWC	False	132	1710.294103334757	384.35493322545375	1719.9058261066214	1347.8949609219726	527.1459748595655	0.996567121625182	2.3468147756781854	False		False	132	6838.540306425814	139.65003332181297	514.07316838903	0.9957813212333156	0.0747635952405735	True	none	False	76	6716.212507892264	291.68181493876574	515.0182102149723	0.989999299454256	0.0679502554551084	True	none	False	49	8892.382219589317	681.1060287642983	493.7573459561156	0.9784731697762412	0.0303281582886402	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	5895.428539326242	7088.287355482816	7406.8758344446705	0.38520618276950996	Non-linear
9	24-06-04	M1_P1_C10	24-06-04_M1_P1_C10	P1_C10	24-06-04_M1	10	1.5s	194.17100000000028	186.2250000000004	13009.882	5346.683999999999	469.83151828689705	347.30821622583244	122.5233020610646	424.42575852555	439.584071852204	4909.873417721518	484.68354430379753	238.0	True	23.30181444733112	28.89983660289199	869.2717164210899	73.3910043507318	119.37777635703888	789.596536556989	0.0202109701403726	0.1033542159221044	423.93031850932266	28.673966877421435	397.02396419562047	449.74599737346216	134.91820567771978	4889.0822784810125	532.3734177215192	234.5	503.3909457161796	False	VWC	False	133	665.4595596884928	512.8209483693704	6036.25574858376	1502.322582026699	503.259169495643	0.9973831872037324	1.8543700003508328	False		False	133	7860.744017646774	127.10085233122776	500.4321183096779	0.997351542202818	0.039965178172827	True	none	False	74	7617.497825457775	305.19660278230754	501.46059042182367	0.9917659567077054	0.0458416080058038	True	none	False	50	8403.659891661973	569.2699863620134	495.630786287888	0.9825993345544576	0.0273071401226775	True	none	Green	6.77813617386448	244.2121613663133	36.02939733019238	S/G2	506.88226605587744	502.9666045902803	7660.912876729493	7088.287355482816	7406.8758344446705	-0.5700059116546153	Linear
