	dz	D2	D3
count	243.0	243.0	243.0
mean	0.01584362139917696	4.508971538913807	4.510322027824354
std	0.10886882807155711	0.02672425830248445	0.024246173207817367
min	-0.486	4.329242401306232	4.356436131664017
10%	-0.09959999999999997	4.4913370698638815	4.4916816065262655
25%	-0.04099999999999998	4.502101490651677	4.502612067255749
50%	0.018000000000000016	4.511894133475122	4.512608228831617
75%	0.06699999999999995	4.5239331011320365	4.524531432666301
90%	0.11960000000000004	4.531907781233531	4.532758441495748
max	0.69	4.542828832685254	4.542839839029819
